"","StudentID","SAT","GPA","scholarship","enroll"
"1",1,1507,3.72,1.64,0
"2",2,1532,3.93,0.52,0
"3",3,1487,3.77,1.67,0
"4",4,1259,3.05,1.21,1
"5",5,1354,3.39,1.65,1
"6",6,1334,3.22,0,0
"7",7,1125,2.73,1.68,1
"8",8,1180,2.82,0,1
"9",9,1098,2.91,0,1
"10",10,1116,2.95,0,1
"11",11,1512,3.88,0,0
"12",12,1332,3.36,1.02,0
"13",13,1306,3.46,1.12,0
"14",14,1419,3.51,1.74,0
"15",15,1555,3.91,0,0
"16",16,1406,3.34,1.03,0
"17",17,1068,2.68,1.04,1
"18",18,1537,3.99,2.49,0
"19",19,1106,2.65,1.99,1
"20",20,1495,3.68,0,0
"21",21,1529,3.89,1.77,0
"22",22,1217,3.09,0,1
"23",23,1423,3.4,1.36,0
"24",24,1031,2.59,2.19,1
"25",25,1188,3.01,1.8,1
"26",26,1019,2.49,1.02,1
"27",27,1554,3.91,0,0
"28",28,1393,3.65,2,0
"29",29,1201,2.96,0,1
"30",30,1573,3.84,0.66,0
"31",31,1363,3.45,1.28,0
"32",32,1017,2.39,0,1
"33",33,1292,3.12,0,0
"34",34,1003,2.45,0,1
"35",35,1439,3.45,1.84,0
"36",36,1562,3.78,1.19,0
"37",37,1544,3.79,2.22,0
"38",38,1407,3.46,0.59,0
"39",39,1531,3.94,0,0
"40",40,1077,2.53,0,1
"41",41,1370,3.37,0.54,0
"42",42,1184,2.94,0,1
"43",43,1486,3.85,2.19,0
"44",44,1299,3.06,2.14,1
"45",45,1566,3.85,1.68,0
"46",46,1406,3.44,1.78,0
"47",47,1247,3.1,0.89,1
"48",48,1436,3.48,2.35,1
"49",49,1258,3.03,1.35,1
"50",50,1293,3.39,1.34,1
"51",51,1361,3.34,1.34,0
"52",52,1338,3.28,1.17,1
"53",53,1139,2.93,0.77,1
"54",54,1443,3.41,0,0
"55",55,1082,2.79,0,1
"56",56,1129,2.81,0,1
"57",57,1180,3.01,1.27,1
"58",58,1570,3.86,1.05,0
"59",59,1159,2.73,0,1
"60",60,1485,3.9,2.39,0
"61",61,1340,3.25,2.31,1
"62",62,1289,3.15,0.71,1
"63",63,1220,3.23,0,0
"64",64,1313,3.21,0,0
"65",65,1519,3.95,1.39,0
"66",66,1332,3.46,1.81,1
"67",67,1240,3.09,1.3,1
"68",68,1164,2.94,0,1
"69",69,1580,3.76,0,0
"70",70,1366,3.42,0,0
"71",71,1277,3.35,0,0
"72",72,1252,3,0.62,1
"73",73,1268,3.07,0,0
"74",74,1179,2.93,0,1
"75",75,1318,3.46,2.15,1
"76",76,1045,2.81,1.92,1
"77",77,1392,3.5,1.13,0
"78",78,1102,2.92,0,1
"79",79,1295,3.35,0,0
"80",80,1205,2.92,0,1
"81",81,1410,3.53,0,0
"82",82,1027,2.54,0,1
"83",83,1132,2.94,2.05,1
"84",84,1537,3.67,1.47,0
"85",85,1462,3.52,1.36,0
"86",86,1442,3.73,0,0
"87",87,1101,2.61,1.19,1
"88",88,1127,2.74,1.96,1
"89",89,1368,3.53,0.55,0
"90",90,1535,3.83,0,0
"91",91,1528,3.92,1.6,0
"92",92,1015,2.39,0,1
"93",93,1483,3.52,0.51,0
"94",94,1365,3.49,1.21,0
"95",95,1325,3.13,2.35,1
"96",96,1267,3.19,0,0
"97",97,1086,2.89,0,1
"98",98,1289,3.19,2.05,1
"99",99,1025,2.69,1.74,1
"100",100,1504,3.77,1.47,0
"101",101,1354,3.25,2.15,1
"102",102,1440,3.5,1.75,0
"103",103,1414,3.63,0,0
"104",104,1336,3.22,0.64,0
"105",105,1426,3.47,0.78,0
"106",106,1243,3.23,0,0
"107",107,1534,3.71,1.72,0
"108",108,1115,2.7,0,1
"109",109,1225,2.96,1.53,1
"110",110,1191,2.93,1.02,1
"111",111,1414,3.37,0.91,0
"112",112,1320,3.41,2.28,1
"113",113,1352,3.28,1.95,1
"114",114,1081,2.64,1.22,1
"115",115,1036,2.43,0,1
"116",116,1342,3.17,0,0
"117",117,1373,3.59,0,0
"118",118,1389,3.63,0,0
"119",119,1485,3.83,1.37,0
"120",120,1538,3.69,0.77,0
"121",121,1082,2.9,0.67,1
"122",122,1225,3.03,0,1
"123",123,1085,2.7,0,1
"124",124,1027,2.59,0,1
"125",125,1511,3.62,0,0
"126",126,1365,3.3,0.8,0
"127",127,1320,3.41,0.59,0
"128",128,1048,2.8,1.16,1
"129",129,1078,2.61,2.12,1
"130",130,1466,3.78,1.08,0
"131",131,1438,3.57,0.76,0
"132",132,1336,3.21,0,0
"133",133,1415,3.56,0.76,0
"134",134,1451,3.67,2.4,0
"135",135,1070,2.67,0.65,1
"136",136,1222,3.21,0.87,1
"137",137,1390,3.57,0.97,0
"138",138,1556,3.98,2.01,0
"139",139,1273,3.24,0,0
"140",140,1548,3.96,0,0
"141",141,1053,2.79,0,1
"142",142,1169,3.09,0,1
"143",143,1289,3.26,1.27,1
"144",144,1513,3.63,1.02,0
"145",145,1514,3.74,0.81,0
"146",146,1496,3.61,0.9,0
"147",147,1246,3.02,2.08,1
"148",148,1016,2.65,0,1
"149",149,1099,2.81,0,1
"150",150,1435,3.78,2.32,0
"151",151,1059,2.83,0,1
"152",152,1466,3.69,0.68,0
"153",153,1320,3.39,0.68,0
"154",154,1336,3.44,0,0
"155",155,1099,2.58,0.52,1
"156",156,1347,3.57,0,0
"157",157,1039,2.67,0,1
"158",158,1541,3.77,2.37,0
"159",159,1147,2.68,1.14,1
"160",160,1175,2.82,0,1
"161",161,1128,2.63,0,1
"162",162,1280,3.39,1.64,1
"163",163,1225,3.23,0,0
"164",164,1175,3.02,0.79,1
"165",165,1536,3.78,0,0
"166",166,1410,3.38,0.6,0
"167",167,1191,2.9,1.97,1
"168",168,1334,3.21,0,0
"169",169,1145,3.01,1.52,1
"170",170,1325,3.47,0,0
"171",171,1299,3.33,0,0
"172",172,1118,2.67,0,1
"173",173,1037,2.5,0,1
"174",174,1324,3.16,0,0
"175",175,1183,3.12,0.52,1
"176",176,1307,3.38,2.47,1
"177",177,1496,3.75,1.31,0
"178",178,1100,2.9,0,1
"179",179,1078,2.68,0,1
"180",180,1324,3.49,0,0
"181",181,1476,3.62,0.73,0
"182",182,1103,2.66,0,1
"183",183,1023,2.44,1.47,1
"184",184,1492,3.81,1.05,0
"185",185,1062,2.72,1.45,1
"186",186,1434,3.46,0.57,0
"187",187,1566,3.75,1.21,0
"188",188,1090,2.53,1.39,1
"189",189,1072,2.8,0,1
"190",190,1107,2.67,0,1
"191",191,1041,2.62,0,1
"192",192,1319,3.23,1.62,1
"193",193,1406,3.65,0,0
"194",194,1350,3.53,1.16,0
"195",195,1304,3.4,0,0
"196",196,1266,3.09,0,0
"197",197,1198,3.14,0,1
"198",198,1083,2.8,2.46,1
"199",199,1547,3.77,1.51,0
"200",200,1012,2.54,0,1
"201",201,1232,2.9,0.9,1
"202",202,1272,3.12,0,0
"203",203,1375,3.44,2.3,1
"204",204,1328,3.19,0.87,0
"205",205,1389,3.51,0.63,0
"206",206,1519,3.87,0.64,0
"207",207,1461,3.59,0.62,0
"208",208,1385,3.49,0,0
"209",209,1217,3.15,0,0
"210",210,1486,3.58,0,0
"211",211,1056,2.48,0.9,1
"212",212,1450,3.43,1.94,0
"213",213,1541,3.92,1.1,0
"214",214,1025,2.66,1.27,1
"215",215,1031,2.68,1.48,1
"216",216,1120,2.75,1.85,1
"217",217,1244,3.27,1.14,1
"218",218,1479,3.63,0.92,0
"219",219,1401,3.48,1.1,0
"220",220,1127,2.98,0.77,1
"221",221,1492,3.89,0,0
"222",222,1249,3.01,0,0
"223",223,1358,3.23,1.85,1
"224",224,1276,3.29,1.3,1
"225",225,1215,2.88,0,1
"226",226,1455,3.74,1.97,0
"227",227,1112,2.6,1.9,1
"228",228,1440,3.57,0,0
"229",229,1018,2.62,0.75,1
"230",230,1125,2.83,0,1
"231",231,1315,3.42,1.43,1
"232",232,1070,2.8,2.46,1
"233",233,1505,3.94,2.5,0
"234",234,1364,3.41,1.4,0
"235",235,1103,2.9,0.94,1
"236",236,1225,2.87,0.9,1
"237",237,1392,3.59,0.53,0
"238",238,1296,3.31,0.71,0
"239",239,1014,2.68,1.22,1
"240",240,1056,2.47,0,1
"241",241,1373,3.56,0.73,0
"242",242,1266,3.12,0,0
"243",243,1572,3.98,0.54,0
"244",244,1029,2.59,1.2,1
"245",245,1410,3.6,1.28,0
"246",246,1222,3,0.76,1
"247",247,1465,3.84,1.16,0
"248",248,1510,3.89,1.37,0
"249",249,1290,3.36,0,0
"250",250,1091,2.69,0,1
"251",251,1180,2.84,0.51,1
"252",252,1519,3.93,2.14,0
"253",253,1109,2.6,0,1
"254",254,1138,2.69,0,1
"255",255,1021,2.72,0,1
"256",256,1483,3.78,1.75,0
"257",257,1141,2.89,0.57,1
"258",258,1045,2.44,0,1
"259",259,1510,3.78,2.45,0
"260",260,1343,3.29,0,0
"261",261,1559,3.76,1.94,0
"262",262,1410,3.47,2.32,1
"263",263,1407,3.65,0,0
"264",264,1465,3.68,0.77,0
"265",265,1577,3.75,0,0
"266",266,1479,3.8,1.57,0
"267",267,1388,3.46,0.66,0
"268",268,1253,2.98,0,0
"269",269,1392,3.65,0,0
"270",270,1577,3.81,1.16,0
"271",271,1429,3.46,1.02,0
"272",272,1051,2.7,0,1
"273",273,1231,2.88,2.37,1
"274",274,1537,4,0,0
"275",275,1454,3.76,1.1,0
"276",276,1398,3.31,0.62,0
"277",277,1139,2.8,0,1
"278",278,1494,3.65,0,0
"279",279,1218,2.87,1.19,1
"280",280,1478,3.81,0.77,0
"281",281,1147,2.73,0,1
"282",282,1343,3.26,0.68,0
"283",283,1488,3.7,0.93,0
"284",284,1355,3.57,0.53,0
"285",285,1153,2.69,0.6,1
"286",286,1251,3.01,1.22,1
"287",287,1227,3.09,0,0
"288",288,1204,2.87,0,1
"289",289,1143,2.88,0,1
"290",290,1549,3.97,2.28,0
"291",291,1423,3.47,1.29,0
"292",292,1274,3.08,0,0
"293",293,1124,2.75,0,1
"294",294,1292,3.05,0,0
"295",295,1021,2.71,0,1
"296",296,1202,2.97,1.35,1
"297",297,1460,3.63,1.5,0
"298",298,1105,2.57,0,1
"299",299,1519,3.97,0.94,0
"300",300,1524,3.74,2.1,0
"301",301,1332,3.25,1.38,1
"302",302,1004,2.36,0,1
"303",303,1332,3.2,0,0
"304",304,1442,3.64,0.91,0
"305",305,1321,3.14,1.84,1
"306",306,1129,2.93,0,1
"307",307,1062,2.67,1.86,1
"308",308,1007,2.53,0,1
"309",309,1101,2.86,0,1
"310",310,1394,3.57,0,0
"311",311,1473,3.8,1.33,0
"312",312,1151,2.98,0,1
"313",313,1518,3.9,2.28,0
"314",314,1498,3.88,0,0
"315",315,1351,3.49,1.72,1
"316",316,1399,3.64,2.43,1
"317",317,1411,3.58,2.42,1
"318",318,1130,2.71,0,1
"319",319,1522,3.88,1.23,0
"320",320,1222,3.07,0,1
"321",321,1283,3.21,1.27,1
"322",322,1089,2.8,0,1
"323",323,1568,3.8,0,0
"324",324,1185,3.06,0,1
"325",325,1040,2.76,0,1
"326",326,1113,2.7,0,1
"327",327,1503,3.7,1.37,0
"328",328,1381,3.54,1.11,0
"329",329,1129,2.74,1.29,1
"330",330,1115,2.71,0,1
"331",331,1299,3.08,1.35,1
"332",332,1528,3.83,2.34,0
"333",333,1119,2.83,0.72,1
"334",334,1378,3.29,1.58,1
"335",335,1561,3.77,1.6,0
"336",336,1059,2.68,0,1
"337",337,1009,2.36,0,1
"338",338,1000,2.42,0,1
"339",339,1476,3.66,0,0
"340",340,1483,3.67,0.55,0
"341",341,1162,2.9,0,1
"342",342,1290,3.2,1.73,1
"343",343,1236,3.17,0,0
"344",344,1096,2.8,0,1
"345",345,1491,3.87,1.14,0
"346",346,1110,2.93,0,1
"347",347,1554,3.72,0.54,0
"348",348,1439,3.68,1.09,0
"349",349,1010,2.61,1.87,1
"350",350,1341,3.44,0,0
"351",351,1357,3.41,0,0
"352",352,1064,2.84,0.94,1
"353",353,1181,3.06,0.96,1
"354",354,1580,3.8,0.81,0
"355",355,1200,2.83,0,1
"356",356,1028,2.42,0,1
"357",357,1271,3.26,1.25,1
"358",358,1192,2.8,0,1
"359",359,1003,2.32,0,1
"360",360,1196,2.99,0.92,1
"361",361,1249,2.96,0.92,1
"362",362,1219,2.92,0.55,1
"363",363,1136,2.93,1.28,1
"364",364,1517,3.87,1.35,0
"365",365,1236,3.1,1,1
"366",366,1433,3.77,2.04,0
"367",367,1562,4.02,2.32,0
"368",368,1186,3.06,0,1
"369",369,1308,3.42,1.59,1
"370",370,1183,3.09,0,1
"371",371,1268,3.06,0,0
"372",372,1248,2.93,1.03,1
"373",373,1106,2.69,2.23,1
"374",374,1027,2.66,1.9,1
"375",375,1486,3.8,1.57,0
"376",376,1234,2.91,1.04,1
"377",377,1178,2.9,0,1
"378",378,1253,3.3,1.15,1
"379",379,1305,3.42,1.11,0
"380",380,1343,3.47,0,0
"381",381,1061,2.69,0,1
"382",382,1480,3.59,0.72,0
"383",383,1132,2.88,0,1
"384",384,1168,2.85,0.56,1
"385",385,1205,2.85,0,1
"386",386,1152,2.85,0,1
"387",387,1194,2.85,0,1
"388",388,1490,3.84,0,0
"389",389,1379,3.49,1.48,0
"390",390,1121,2.93,1.91,1
"391",391,1553,3.94,0,0
"392",392,1000,2.49,0,1
"393",393,1113,2.68,0,1
"394",394,1265,3.31,0,0
"395",395,1342,3.26,0.85,0
"396",396,1109,2.77,0,1
"397",397,1571,3.78,0.58,0
"398",398,1042,2.68,1.04,1
"399",399,1315,3.26,0.62,0
"400",400,1558,3.74,0.76,0
"401",401,1116,2.81,0.56,1
"402",402,1234,2.97,0.53,1
"403",403,1284,3.25,1.34,1
"404",404,1249,2.97,0,1
"405",405,1284,3.06,0,0
"406",406,1290,3.42,0.51,0
"407",407,1301,3.17,2.25,1
"408",408,1552,3.73,0.88,0
"409",409,1431,3.53,0,0
"410",410,1018,2.74,0,1
"411",411,1358,3.2,0,0
"412",412,1058,2.62,2.42,1
"413",413,1126,2.78,2.28,1
"414",414,1179,2.79,0,1
"415",415,1228,3.01,0.88,1
"416",416,1468,3.48,1.71,0
"417",417,1315,3.27,0,0
"418",418,1245,3.22,1.16,1
"419",419,1244,3.12,0,0
"420",420,1422,3.43,1.94,1
"421",421,1472,3.48,0,0
"422",422,1140,2.95,0,1
"423",423,1503,3.92,1.07,0
"424",424,1161,3.02,0,1
"425",425,1369,3.3,0,0
"426",426,1402,3.39,0,0
"427",427,1564,3.85,0,0
"428",428,1539,3.83,0,0
"429",429,1206,3.11,0,1
"430",430,1020,2.71,0,1
"431",431,1228,3.21,0.57,1
"432",432,1417,3.42,1.46,0
"433",433,1397,3.52,0,0
"434",434,1453,3.63,2.18,0
"435",435,1399,3.54,0.5,0
"436",436,1037,2.59,0,1
"437",437,1323,3.21,0.5,0
"438",438,1556,3.72,1.89,0
"439",439,1226,2.99,2.36,1
"440",440,1027,2.73,0,1
"441",441,1385,3.26,0,0
"442",442,1161,2.99,1.58,1
"443",443,1025,2.61,0,1
"444",444,1460,3.61,1.4,0
