StudentID,SAT,GPA,scholarship,enroll
1,1334,3.33,0,0
2,1525,3.98,1.08,0
3,1022,2.43,0,1
4,1523,3.97,0.67,0
5,1315,3.29,0,0
6,1486,3.79,2.1,0
7,1279,3.27,0,0
8,1500,3.88,0.79,0
9,1012,2.4,0,1
10,1162,2.92,0,1
11,1411,3.64,0,0
12,1374,3.45,1.33,0
13,1542,3.97,1.21,0
14,1434,3.53,1.72,0
15,1014,2.7,1.59,1
16,1572,4.12,0.85,0
17,1295,3.07,0,0
18,1333,3.41,0,0
19,1522,3.83,0,0
20,1352,3.44,0,0
21,1181,2.97,0,1
22,1004,2.42,0,1
23,1081,2.81,2.14,1
24,1019,2.52,1.36,1
25,1269,3.23,0,0
26,1181,3.02,0,1
27,1256,2.98,0,0
28,1091,2.56,0,1
29,1304,3.32,0,0
30,1072,2.68,0,1
31,1465,3.86,2.36,0
32,1227,2.89,1.91,1
33,1363,3.48,0.68,0
34,1566,3.74,2.37,0
35,1416,3.71,0,0
36,1479,3.87,1.39,0
37,1170,2.74,0.58,1
38,1099,2.88,0,1
39,1081,2.55,0,1
40,1257,2.98,0,0
41,1537,3.73,1.2,0
42,1027,2.59,1,1
43,1169,2.97,0,1
44,1507,3.76,0.81,0
45,1052,2.62,0,1
46,1508,3.82,1.41,0
47,1283,3.13,1.36,1
48,1410,3.35,0,0
49,1297,3.15,0,0
50,1527,3.98,0,0
51,1287,3.25,0.55,0
52,1175,2.78,1.04,1
53,1049,2.66,0,1
54,1088,2.86,0.9,1
55,1537,3.88,1.92,0
56,1227,3.14,0,0
57,1428,3.38,2.24,1
58,1339,3.37,0,0
59,1117,2.85,0,1
60,1158,2.78,1.73,1
61,1193,2.87,2.32,1
62,1041,2.63,0,1
63,1327,3.3,2.16,1
64,1275,3.35,0.76,1
65,1507,3.71,0.84,0
66,1322,3.18,0,0
67,1002,2.48,0,1
68,1381,3.63,1.38,0
69,1221,2.88,1.32,1
70,1118,2.72,0,1
71,1188,3.1,2.06,1
72,1308,3.28,1.76,1
73,1302,3.24,0,0
74,1517,3.87,0,0
75,1406,3.62,1.63,0
76,1073,2.5,1.42,1
77,1286,3.09,0,0
78,1301,3.29,0,0
79,1434,3.51,1.35,0
80,1328,3.42,2.44,1
81,1018,2.49,0.77,1
82,1230,3.15,1.48,1
83,1507,3.96,2.32,0
84,1038,2.69,0,1
85,1298,3.32,0,0
86,1502,3.92,0.94,0
87,1072,2.79,2.07,1
88,1367,3.47,1.66,1
89,1411,3.55,0,0
90,1414,3.71,1.46,0
91,1260,3.1,0,0
92,1530,3.83,0.69,0
93,1505,3.59,0,0
94,1545,3.88,1.38,0
95,1422,3.65,0.64,0
96,1184,2.89,0,1
97,1247,3.02,1.36,1
98,1239,2.97,0,1
99,1379,3.47,0,0
100,1395,3.5,2.47,1
101,1416,3.52,0,0
102,1576,3.89,0,0
103,1483,3.8,0,0
104,1108,2.71,0,1
105,1045,2.65,0,1
106,1046,2.78,0,1
107,1154,2.94,0,1
108,1335,3.2,0,0
109,1170,3.07,1.42,1
110,1143,2.85,0,1
111,1221,3.06,0,1
112,1347,3.27,0,0
113,1431,3.66,0.59,0
114,1119,2.62,1.14,1
115,1398,3.38,2.42,1
116,1145,3.05,0,1
117,1076,2.49,0,1
118,1491,3.7,0,0
119,1370,3.52,2.46,1
120,1464,3.58,1.18,0
121,1447,3.42,1.01,0
122,1432,3.46,1.4,0
123,1377,3.49,0.67,0
